Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,"Centre Cívic La Cadena",InscripcionsActivitatsFormacio,593,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2021,"Centre Cívic La Cadena",Metres_quadrats,333,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2021,"Centre Cívic La Casa Elizalde",ActivitatsDeFormacio,316,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2021,"Centre Cívic La Casa Elizalde",InscripcionsActivitatsFormacio,5495,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2021,"Centre Cívic La Casa Elizalde",Metres_quadrats,1800,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2021,"Centre Cívic La Sagrera",ActivitatsDeFormacio,80,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2021,"Centre Cívic La Sagrera",InscripcionsActivitatsFormacio,537,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2021,"Centre Cívic La Sagrera",Metres_quadrats,903,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2021,"Centre Cívic La Sedeta",ActivitatsDeFormacio,502,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2021,"Centre Cívic La Sedeta",InscripcionsActivitatsFormacio,4328,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2021,"Centre Cívic La Sedeta",Metres_quadrats,1287,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2021,"Centre Cívic Matas i Ramis",ActivitatsDeFormacio,40,,,07,Horta-Guinardó,43,Horta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2021,"Centre Cívic Matas i Ramis",InscripcionsActivitatsFormacio,427,,,07,Horta-Guinardó,43,Horta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2021,"Centre Cívic Matas i Ramis",Metres_quadrats,637,,,07,Horta-Guinardó,43,Horta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2021,"Centre Cívic Navas",ActivitatsDeFormacio,266,,,09,"Sant Andreu",63,Navas,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2021,"Centre Cívic Navas",InscripcionsActivitatsFormacio,1795,,,09,"Sant Andreu",63,Navas,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2021,"Centre Cívic Navas",Metres_quadrats,1200,,,09,"Sant Andreu",63,Navas,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2021,"Centre Cívic Pati Llimona",ActivitatsDeFormacio,106,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2021,"Centre Cívic Pati Llimona",InscripcionsActivitatsFormacio,704,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2021,"Centre Cívic Pati Llimona",Metres_quadrats,1900,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2021,"Centre Cívic Pere Pruna",ActivitatsDeFormacio,46,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2021,"Centre Cívic Pere Pruna",InscripcionsActivitatsFormacio,424,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2021,"Centre Cívic Pere Pruna",Metres_quadrats,287,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2021,"Centre Cívic Sagrada Família",ActivitatsDeFormacio,181,,,02,Eixample,06,"la Sagrada Família",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2021,"Centre Cívic Sagrada Família",InscripcionsActivitatsFormacio,1627,,,02,Eixample,06,"la Sagrada Família",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2021,"Centre Cívic Sagrada Família",Metres_quadrats,1900,,,02,Eixample,06,"la Sagrada Família",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2021,"Centre Cívic Sant Andreu",ActivitatsDeFormacio,81,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2021,"Centre Cívic Sant Andreu",InscripcionsActivitatsFormacio,702,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2021,"Centre Cívic Sant Andreu",Metres_quadrats,900,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
